X,Y,Z,body,wl,wr
41,29,11,1,0,0
41,29,12,1,0,0
41,29,13,1,0,0
41,29,14,1,0,0
41,29,15,1,0,0
41,29,16,1,0,0
41,29,17,1,0,0
41,29,18,1,0,0
41,29,19,1,0,0
41,29,20,1,0,0
41,29,21,1,0,0
41,29,22,1,0,0
41,30,10,1,0,0
41,30,11,1,0,0
41,30,12,1,0,0
41,30,13,1,0,0
41,30,14,1,0,0
41,30,15,1,0,0
41,30,16,1,0,0
41,30,17,1,0,0
41,30,18,1,0,0
41,30,19,1,0,0
41,30,20,1,0,0
41,30,21,1,0,0
41,30,22,1,0,0
41,30,23,1,0,0
41,31,8,1,0,0
41,31,9,1,0,0
41,31,10,1,0,0
41,31,11,1,0,0
41,31,12,1,0,0
41,31,13,1,0,0
41,31,14,1,0,0
41,31,15,1,0,0
41,31,16,1,0,0
41,31,17,1,0,0
41,31,18,1,0,0
41,31,19,1,0,0
41,31,20,1,0,0
41,31,21,1,0,0
41,31,22,1,0,0
41,31,23,1,0,0
41,32,8,1,0,0
41,32,9,1,0,0
41,32,10,1,0,0
41,32,11,1,0,0
41,32,12,1,0,0
41,32,13,1,0,0
41,32,14,1,0,0
41,32,15,1,0,0
41,32,16,1,0,0
41,32,17,1,0,0
41,32,18,1,0,0
41,32,19,1,0,0
41,32,20,1,0,0
41,32,21,1,0,0
41,32,22,1,0,0
41,32,23,1,0,0
41,33,8,1,0,0
41,33,9,1,0,0
41,33,10,1,0,0
41,33,11,1,0,0
41,33,12,1,0,0
41,33,13,1,0,0
41,33,14,1,0,0
41,33,15,1,0,0
41,33,16,1,0,0
41,33,17,1,0,0
41,33,18,1,0,0
41,33,19,1,0,0
41,33,20,1,0,0
41,33,21,1,0,0
41,33,22,1,0,0
41,33,23,1,0,0
41,33,24,1,0,0
41,34,8,1,0,0
41,34,9,1,0,0
41,34,10,1,0,0
41,34,11,1,0,0
41,34,12,1,0,0
41,34,13,1,0,0
41,34,14,1,0,0
41,34,15,1,0,0
41,34,16,1,0,0
41,34,17,1,0,0
41,34,18,1,0,0
41,34,19,1,0,0
41,34,20,1,0,0
41,34,21,1,0,0
41,34,22,1,0,0
41,34,23,1,0,0
41,34,24,1,0,0
41,34,25,1,0,0
41,35,7,1,0,0
41,35,8,1,0,0
41,35,9,1,0,0
41,35,10,1,0,0
41,35,11,1,0,0
41,35,12,1,0,0
41,35,13,1,0,0
41,35,14,1,0,0
41,35,15,1,0,0
41,35,16,1,0,0
41,35,17,1,0,0
41,35,18,1,0,0
41,35,19,1,0,0
41,35,20,1,0,0
41,35,21,1,0,0
41,35,22,1,0,0
41,35,23,1,0,0
41,36,7,1,0,0
41,36,8,1,0,0
